#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Belgium,"4,654,473",,"33,133                                ",,"4,592,044",+926,"29,296",48,"398,900","2,840","36,225,338","3,104,600","11,668,278 ",Europe,,33520,,,"2,511"
33,Czechia,"4,571,136",,"41,991                                ",,"4,518,646",,"10,499",44,"425,745","3,911","56,700,361","5,280,945","10,736,784 ",Europe,,22560,,,978
34,Canada,"4,440,839",,"48,353                                ",,"4,335,436","+2,240","57,050",99,"115,682","1,260","66,343,123","1,728,207","38,388,419 ",North America,,97941,,,"1,486"
35,Peru,"4,376,905",,"217,704                                ",,"4,061,293","+12,746","97,908",135,"129,939","6,463","36,921,134","1,096,096","33,684,208 ",South America,,81551,,,"2,907"
36,Switzerland,"4,351,857",,"14,353                                ",,"4,264,255","+4,857","73,249",76,"496,015","1,636","23,132,609","2,636,604","8,773,637 ",Europe,,26110,,,"8,349"
37,Philippines,"4,052,967",,"64,968                                ",,"3,969,634",,"18,365",162,"36,023",577,"33,860,107","300,955","112,508,994 ",Asia,,"281,7323",,,163
38,South Africa,"4,046,150",,"102,568                                ",,"3,912,506",,"31,076",192,"66,597","1,688","26,473,049","435,726","60,756,135 ",Africa,,155922,,,511
39,Romania,"3,301,662",,"67,310                                ",,"3,229,524",,"4,828",98,"173,486","3,537","25,884,901","1,360,120","19,031,335 ",Europe,,62831,,,254
40,Denmark,"3,156,563",,"7,626                                ",,"3,140,584",,"8,353",13,"540,975","1,307","128,916,582","22,093,862","5,834,950 ",Europe,,27650,,,"1,432"
41,Sweden,"2,651,702",,"21,332                                ",,"2,600,821",,"29,549",29,"259,488","2,087","19,214,371","1,880,265","10,218,971 ",Europe,,44791,,,"2,892"
42,Iraq,"2,464,375",,"25,366                                ",,"2,437,963",,"1,046",21,"58,446",602,"19,448,292","461,243","42,164,965 ",Asia,,"171,6622",,,25
43,Serbia,"2,432,914",,"17,451                                ",,"2,404,140",,"11,323",17,"281,164","2,017","11,745,126","1,357,345","8,653,016 ",Europe,,44961,,,"1,309"
44,Hong Kong,"2,307,397",,"11,075                                ",,"1,951,535",,"344,787",31,"303,433","1,456","70,602,097","9,284,498","7,604,299 ",Asia,,36870,,,"45,341"
45,Singapore,"2,186,214",,"1,709                                ",,"2,110,238",,"74,267",5,"367,830",288,"24,624,319","4,143,035","5,943,546 ",Asia,,"33,4780",,,"12,495"
46,Hungary,"2,176,249",,"48,380                                ",,"2,114,134",,"13,735",24,"226,545","5,036","11,394,556","1,186,160","9,606,259 ",Europe,,41991,,,"1,430"
47,Bangladesh,"2,036,881",,"29,437                                ",,"1,986,606",,"20,838","1,331","12,133",175,"15,119,089","90,056","167,885,689 ",Asia,,"825,70311",,,124
48,New Zealand,"2,019,685",,"3,371                                ",,"1,977,388",,"38,926",,"412,332",688,"7,677,843","1,567,482","4,898,203 ",Australia/Oceania,,"21,4531",,,"7,947"
49,Slovakia,"1,857,686",,"20,776                                ",,"1,835,307",,"1,603",23,"340,224","3,805","7,365,351","1,348,918","5,460,193 ",Europe,,32631,,,294
50,Georgia,"1,808,085",,"16,895                                ",,"1,776,548",,"14,642",,"455,582","4,257","16,920,079","4,263,340","3,968,738 ",Asia,,22350,,,"3,689"
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181
52,Ireland,"1,680,548",,"8,159                                ",,"1,669,520",+298,"2,869",10,"334,757","1,625","12,867,913","2,563,228","5,020,199 ",Europe,,36150,,,571
53,Pakistan,"1,575,562",+30,"30,635                                ",,"1,538,689",,"6,238",32,"6,866",133,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4918",0.1,,27
54,Norway,"1,471,834",,"4,498                                ",,"1,464,378",,"2,958",20,"267,054",816,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,2251",,,537
55,Finland,"1,428,446",,"7,783                                ",,"1,384,641",,"36,022",21,"257,148","1,401","11,899,068","2,142,062","5,554,960 ",Europe,,47140,,,"6,485"
56,Kazakhstan,"1,399,479",,"13,694                                ",,"1,383,020",,"2,765",24,"72,870",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4022",,,144
57,Bulgaria,"1,289,869",,"38,077                                ",,"1,247,414",,"4,378",35,"188,451","5,563","10,865,968","1,587,525","6,844,597 ",Europe,,51801,,,640
58,Slovenia,"1,283,998",,"6,964                                ",,"1,253,208",,"23,826",22,"617,891","3,351","2,795,235","1,345,134","2,078,034 ",Europe,,22981,,,"11,466"
59,Lithuania,"1,282,485",,"9,450                                ",,"1,264,778",,"8,257",10,"481,828","3,550","10,277,516","3,861,248","2,661,708 ",Europe,,22820,,,"3,102"
60,Morocco,"1,270,588",,"16,291                                ",,"1,253,382",,915,293,"33,638",431,"12,801,893","338,919","37,772,756 ",Africa,,"302,3193",,,24
61,Croatia,"1,258,420",,"17,435                                ",,"1,238,073",,"2,912",15,"310,010","4,295","5,394,345","1,328,890","4,059,286 ",Europe,,32331,,,717
62,Lebanon,"1,221,370",,"10,742                                ",,"1,087,587",,"123,041",74,"182,707","1,607","4,795,578","717,380","6,684,849 ",Asia,,56221,,,"18,406"
63,Guatemala,"1,179,809",,"19,973                                ",,"1,139,318",,"20,518",5,"63,485","1,075","6,439,424","346,503","18,584,039 ",North America,,169303,,,"1,104"
64,Costa Rica,"1,152,466",,"9,051                                ",,"860,711",,"282,704",52,"222,383","1,747","4,659,757","899,158","5,182,354 ",North America,,45731,,,"54,551"
65,Tunisia,"1,147,282",,"29,272                                ",,N/A,N/A,N/A,44,"95,237","2,430","4,977,368","413,174","12,046,656 ",Africa,,114122,,,665
66,Bolivia,"1,125,046",,"22,262                                ",,"1,081,331",,"21,453",220,"93,811","1,856","2,705,422","225,590","11,992,656 ",South America,,115394,,,"1,789"
67,Cuba,"1,111,594",,"8,530                                ",,"1,102,947",,117,23,"98,322",754,"14,233,813","1,259,000","11,305,652 ",North America,,"101,3251",,,10
68,UAE,"1,045,895",,"2,348                                ",,"1,027,025",,"16,522",,"103,741",233,"197,622,113","19,601,897","10,081,785 ",Asia,,"104,2940",,,"1,639"
